RWY25,204916N,1064413E
RWY07,204845N,1064233E
ADMAM,205109N,1062614E
BATOT,201259N,1064252E
BIGEL,203115N,1063657E
CI070,204654N,1063620E
CI071,204540N,1063217E
CI072,204332N,1062510E
CI073,203653N,1062720E
CI107,205047N,1064918E
CI111,202920N,1063735E
CI125,204714N,1063728E
CI207,205735N,1064720E
CI222,203446N,1062711E
CI225,204617N,1063419E
CI250,205107N,1065026E
CI251,205220N,1065430E
CI252,205427N,1070137E
CI253,204745N,1070353E
CI307,204528N,1065106E
CI325,204007N,1063904E
CI333,202900N,1063256E
CI407,205644N,1063808E
CI444,203214N,1062946E
CI507,204244N,1064138E
CI555,203034N,1062835E
CI666,203059N,1063315E
DAGSA,205225N,1063005E
DOKLA,210412N,1063308E
DOTUK,201136N,1065556E
DUMIM,203856N,1063428E
FILET,204538N,1065645E
GASSO,210511N,1064506E
HALRO,205733N,1064104E
HODOL,202335N,1063927E
LOCHA,203924N,1065713E
MAREL,191341N,1064137E
NAH,202314N,1060704E
NAKHA,215800N,1062936E
NOB,211246N,1055005E
PHUTA,205547N,1062738E
TOLUP,204238N,1064644E
TOMUL,205901N,1065214E
TOGUB,203344N,1062521E
VANUC,203259N,1064318E
VIBAO,203918N,1062947E
VIDAD,185052N,1065218E
